Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance(%),Midterm_Score,Final_score,Assignment_Avg,Quizzes_Avg,Participation_Score,Project_Score,Total_Score,Grade,Study_Hour_Per_Week,ExtraCircular_Activities,Internet_Access,Parent_Education,Family_Income,Stress(1 - 10)
S1033,LUVAS,MDYYE,luvas657@gmail.com,Other,23,MBA,73.18,23,34,5.81,5.07,7,20,94.88,C,14,No,Yes,Graduate,Low,6
S1034,QWJWO,EONCJ,qwjwo280@yahoo.com,Female,20,MBA,94.36,40,33,6.29,6.13,8,16,109.43,B,14,No,No,None,Low,4
S1035,QYGWM,LNJAG,qygwm502@yahoo.com,Female,23,CE,71.35,27,34,5.13,8.32,8,20,102.45,B,19,No,Yes,Primary,Low,5
S1036,MMQHG,OCGHM,mmqhg525@outlook.com,Male,18,CE,61.09,34,44,8.4,9.04,10,16,121.44,A,15,No,No,Graduate,High,5
S1037,JZTYZ,TPWLO,jztyz798@outlook.com,Male,25,IT,80.06,31,45,9.79,7.16,9,18,119.95,B,8,No,No,Primary,High,10
S1038,QWBQQ,SCEAF,qwbqq367@gmail.com,Other,24,CSE,60.72,30,40,5.67,7.11,9,18,109.78,B,19,No,Yes,Secondary,Low,9
S1039,LXUBV,VNDSG,lxubv817@gmail.com,Male,23,BBA,89.11,30,33,7.04,5.7,5,18,98.74,C,2,Yes,Yes,Post-Graduate,High,4
S1040,LLCBZ,RHTVO,llcbz495@outlook.com,Female,19,AI/ML,99.93,31,31,7.14,8.47,9,11,97.61,C,10,Yes,No,None,Low,9
S1041,SUJUK,GHPQQ,sujuk549@yahoo.com,Other,18,BBA,87.55,36,49,8.85,6.34,6,19,125.19,A,1,Yes,No,Primary,Low,4
S1042,ZCKTI,PKHXA,zckti730@outlook.com,Male,22,BBA,91.18,21,33,8.54,6.29,8,16,92.84,C,9,Yes,Yes,None,Low,3
S1043,OBQKG,RPBIQ,obqkg31@gmail.com,Other,25,CSE,93.14,23,50,5.7,6.71,7,14,106.41,B,18,Yes,Yes,Secondary,High,6
S1044,ZCIVT,WSSZJ,zcivt385@yahoo.com,Other,25,MBA,85.99,22,41,7.6,9.4,6,13,99.0,C,3,No,Yes,Graduate,Low,5
S1045,SXRJB,SDDYQ,sxrjb63@edu.in,Other,24,CSE,61.0,39,31,5.56,9.23,10,10,104.79,B,17,No,No,Graduate,High,3
S1046,OVVJS,DQKDZ,ovvjs238@yahoo.com,Female,18,AI/ML,65.79,39,31,5.1,9.32,8,16,108.43,B,15,No,Yes,Graduate,Low,8
S1047,UNBEC,JWRZV,unbec399@yahoo.com,Other,18,IT,62.39,33,38,9.51,7.24,7,10,104.75,B,17,No,Yes,Primary,High,1
S1048,GNIMG,RKAEJ,gnimg478@yahoo.com,Male,24,AI/ML,80.37,22,33,6.53,5.01,7,10,83.55,C,4,Yes,No,Secondary,Low,8
S1049,LIGTI,AHRPE,ligti693@outlook.com,Other,18,ME,61.45,26,34,9.25,5.17,10,16,100.42,B,16,No,Yes,Post-Graduate,Low,1
S1050,HZPNH,RMFLJ,hzpnh627@yahoo.com,Female,24,IT,75.61,24,45,7.32,9.08,10,17,112.41,B,3,No,No,Graduate,Medium,4
S1051,QGXAG,NVVQE,qgxag429@yahoo.com,Female,18,CSE,85.11,29,33,5.05,9.13,5,18,99.18,C,6,No,Yes,Primary,Low,4
S1052,VFIUD,PAPRG,vfiud933@edu.in,Female,25,ECE,84.97,20,32,5.33,9.09,7,14,87.42,C,1,No,Yes,Post-Graduate,Low,2
S1053,KDQLK,ODKTA,kdqlk804@yahoo.com,Male,21,BBA,65.96,36,34,6.74,7.2,6,14,103.94,B,18,Yes,Yes,Graduate,High,2
S1054,QKSUC,ZSQUK,qksuc480@yahoo.com,Female,19,MBA,66.11,39,45,6.56,9.65,5,11,116.21,B,12,No,No,Secondary,High,8
S1055,ZMDNK,EWWAY,zmdnk429@edu.in,Female,19,CSE,72.82,21,39,6.55,8.45,8,11,94.0,C,7,Yes,Yes,Secondary,Low,9
S1056,WYGEN,DNMYS,wygen611@gmail.com,Male,21,IT,76.39,20,37,8.6,6.52,5,18,95.12,C,11,No,No,Primary,Medium,3
S1057,MJVHR,WJKEX,mjvhr768@outlook.com,Female,24,IT,92.52,34,35,9.62,6.74,8,13,106.37,B,4,No,Yes,Primary,High,6
S1058,SNLTR,XNXHY,snltr656@gmail.com,Male,18,CSE,81.23,39,44,8.65,9.98,10,19,130.64,A,4,Yes,No,None,High,8
S1059,QINRR,BUVMI,qinrr511@yahoo.com,Female,25,CE,63.74,24,37,7.3,9.77,7,12,97.06,C,1,Yes,No,Post-Graduate,Medium,3
S1060,YAGOH,LDPBS,yagoh384@gmail.com,Female,20,ECE,76.01,37,39,7.41,9.74,5,11,109.15,B,9,Yes,Yes,Post-Graduate,High,4
S1061,WDYNG,DRYME,wdyng556@yahoo.com,Male,25,ECE,79.41,35,31,5.77,5.83,6,14,97.59,C,17,No,No,Primary,Medium,6
S1062,IBSWW,XIFTK,ibsww325@outlook.com,Other,22,CE,77.9,36,49,9.65,5.21,10,15,124.86,A,4,Yes,No,Secondary,Low,3
S1063,PROJK,ZOHXW,projk59@gmail.com,Other,20,ME,69.76,25,46,7.26,8.15,7,17,110.41,B,5,No,No,Primary,Low,6
S1064,ADQVY,BPFJS,adqvy488@outlook.com,Other,19,ECE,78.36,35,46,6.3,8.3,6,18,119.6,B,12,No,No,Graduate,Medium,7
S1065,AELFW,KVRZF,aelfw127@yahoo.com,Female,19,MBA,73.73,35,46,5.98,8.17,9,15,119.15,B,17,No,No,None,Low,5
S1066,CTSSK,INUPN,ctssk200@outlook.com,Female,18,ME,62.14,23,40,6.6,9.72,7,15,101.32,B,14,Yes,Yes,Secondary,Medium,6
S1067,TJRRO,UMVIJ,tjrro608@gmail.com,Female,23,CSE,84.54,35,31,9.84,8.72,10,13,107.55,B,5,No,No,None,High,10
S1068,MIIFR,PTBIH,miifr15@outlook.com,Other,20,BBA,65.97,39,35,5.14,5.26,10,14,108.4,B,5,No,No,Secondary,High,8
S1069,CKSSU,OZPVV,ckssu920@gmail.com,Male,22,BBA,97.27,30,35,6.48,6.11,10,13,100.59,B,12,Yes,No,Graduate,Low,5
S1070,RHIXY,KHILW,rhixy807@gmail.com,Other,23,AI/ML,67.12,29,33,5.59,6.5,5,12,91.09,C,11,Yes,Yes,None,High,3
S1071,ZRAXO,LCLHT,zraxo875@edu.in,Other,24,CSE,87.3,35,38,9.06,7.01,6,14,109.07,B,19,Yes,No,Secondary,Low,9
S1072,AQOJJ,VKFVR,aqojj301@gmail.com,Male,25,IT,88.87,29,49,8.42,8.44,8,15,117.87,B,10,No,Yes,Primary,Low,10
S1073,UGBUN,SCAVQ,ugbun897@yahoo.com,Male,23,ME,69.21,37,36,8.95,9.29,8,14,113.25,B,18,Yes,No,Primary,High,4
S1074,ZCUTN,ZJBOE,zcutn97@outlook.com,Female,21,ME,81.0,21,49,7.25,6.54,5,11,99.79,C,17,No,No,Primary,Low,3
S1075,CXXMG,NPCZD,cxxmg804@yahoo.com,Male,25,ME,77.14,31,45,5.21,9.7,9,17,116.91,B,12,No,Yes,Secondary,Medium,6
S1076,FUXNB,MURFS,fuxnb665@outlook.com,Other,18,CSE,67.75,36,30,5.88,8.93,8,19,107.82,B,10,Yes,No,None,High,5
S1077,GALTA,TNXJZ,galta740@outlook.com,Other,21,ME,90.24,25,35,7.35,5.61,8,13,93.96,C,18,Yes,Yes,Primary,Medium,4
S1078,BYXXF,VYJVF,byxxf224@edu.in,Male,22,AI/ML,77.0,27,30,7.44,5.7,5,13,88.14,C,15,Yes,No,Secondary,Low,5
S1079,CBORV,NAYUZ,cborv578@outlook.com,Female,24,CSE,82.14,20,32,9.39,5.81,7,10,84.2,C,11,No,No,Graduate,High,3
S1080,TWBCX,BPMQP,twbcx824@yahoo.com,Male,18,AI/ML,70.25,31,40,9.01,5.85,5,11,101.86,B,16,Yes,No,Post-Graduate,Medium,7
S1081,AFDZR,DLRFZ,afdzr965@yahoo.com,Female,22,AI/ML,87.66,29,45,8.56,7.42,6,12,107.98,B,3,No,No,Graduate,Low,2
S1082,DGOPY,PTICK,dgopy963@yahoo.com,Other,19,ME,81.47,24,41,6.24,5.51,5,20,101.75,B,19,No,Yes,Primary,Low,6
S1083,PJMXY,IUFLE,pjmxy507@outlook.com,Other,24,BBA,68.36,27,40,5.43,5.14,7,16,100.57,B,20,Yes,Yes,Primary,Low,8
S1084,EDDUA,TIBIB,eddua85@yahoo.com,Female,24,CSE,87.89,25,47,6.42,7.59,10,18,114.01,B,4,No,No,Post-Graduate,Low,8
S1085,OEHOX,YZMRB,oehox588@edu.in,Male,19,IT,95.29,29,43,9.52,9.32,8,17,115.84,B,8,No,Yes,Primary,Low,9
S1086,DGVYT,HYAJW,dgvyt729@outlook.com,Male,21,BBA,91.99,31,35,6.14,7.75,9,17,105.9,B,15,Yes,Yes,Primary,Medium,6
S1087,MKGLV,IDQBT,mkglv497@outlook.com,Female,19,IT,80.47,22,33,8.38,8.69,8,19,99.06,C,5,Yes,Yes,Graduate,High,2
S1088,SJPYY,SLHMG,sjpyy863@yahoo.com,Male,18,ME,72.41,32,45,5.0,9.49,10,17,118.5,B,14,No,No,Graduate,Low,8
S1089,SKVLO,BRIZW,skvlo327@edu.in,Female,21,IT,78.55,28,46,8.44,6.8,10,19,118.24,B,2,No,Yes,Post-Graduate,Medium,9
S1090,YKAUX,AIGKH,ykaux9@yahoo.com,Other,22,ECE,97.69,33,39,8.43,9.8,7,20,117.23,B,5,No,Yes,Graduate,Low,4
S1091,DSBJL,ORZDJ,dsbjl244@edu.in,Male,25,BBA,68.47,21,48,6.73,6.57,8,14,104.3,B,16,No,No,Graduate,Medium,10
S1092,PGEUV,EBGZL,pgeuv306@outlook.com,Female,21,AI/ML,79.84,26,37,6.47,9.65,7,20,106.12,B,9,No,Yes,Primary,Low,2
S1093,ZGDMF,FPVPE,zgdmf223@yahoo.com,Other,19,MBA,73.0,23,43,6.0,8.6,8,11,99.6,C,17,No,No,None,Medium,10
S1094,CXJXB,YMFBO,cxjxb43@yahoo.com,Male,23,ECE,94.28,30,45,5.68,8.75,7,16,112.43,B,9,No,No,None,Medium,1
S1095,IGWWG,GJDPD,igwwg477@yahoo.com,Male,22,AI/ML,86.93,21,40,8.88,6.26,10,18,104.14,B,20,No,Yes,Graduate,High,8
S1096,OYHCO,CXCGB,oyhco399@gmail.com,Male,24,CSE,62.91,38,33,9.84,7.77,8,13,109.61,B,8,Yes,No,None,Medium,6
S1097,COQFY,TRTXN,coqfy300@yahoo.com,Male,21,AI/ML,86.14,29,50,9.39,6.9,6,10,111.29,B,6,Yes,No,Primary,Low,1
S1098,EJLOB,QTNPO,ejlob817@edu.in,Male,21,MBA,80.95,26,46,6.79,6.07,7,10,101.86,B,4,Yes,Yes,Secondary,Medium,10
S1099,SFXDU,BOHKJ,sfxdu623@outlook.com,Female,20,ECE,87.66,20,41,8.29,9.36,6,12,96.65,C,16,Yes,Yes,Primary,High,4
S1100,HKXHK,UBCTB,hkxhk74@edu.in,Other,24,AI/ML,82.93,38,43,9.76,9.12,10,15,124.88,A,14,No,Yes,Primary,Low,10
S1101,GJVPR,IVTJK,gjvpr143@yahoo.com,Male,20,BBA,88.28,33,46,5.25,9.58,6,20,119.83,B,1,Yes,Yes,Post-Graduate,Low,5
S1102,TZARH,ZPLCN,tzarh642@gmail.com,Female,25,AI/ML,66.75,40,36,9.99,8.07,7,10,111.06,B,1,Yes,Yes,Post-Graduate,High,2
S1103,VZROK,BFGKU,vzrok83@gmail.com,Male,18,AI/ML,90.74,37,48,8.7,6.3,7,16,123.0,A,5,Yes,No,Primary,Low,7
S1104,HJMVH,VXMNM,hjmvh609@yahoo.com,Other,22,CE,68.42,30,41,7.93,7.91,7,18,111.85,B,13,No,Yes,Graduate,High,5
S1105,YGLBV,SCRVL,yglbv755@yahoo.com,Male,22,CSE,76.24,24,30,5.41,7.92,10,19,96.33,C,14,Yes,No,Primary,Medium,7
S1106,OSVNM,UHAIQ,osvnm98@outlook.com,Male,24,ME,87.76,22,33,9.7,9.43,5,16,95.13,C,18,No,No,None,High,6
S1107,CQYAQ,WBYXG,cqyaq66@outlook.com,Male,22,AI/ML,89.1,32,33,8.03,8.98,5,15,102.01,B,11,No,No,None,Medium,4
S1108,KMYLK,IGHLK,kmylk337@yahoo.com,Male,20,MBA,60.1,30,39,8.69,8.22,5,11,101.91,B,13,Yes,No,None,High,7
S1109,OSQPK,SBGOJ,osqpk556@gmail.com,Female,18,MBA,70.51,22,46,9.81,5.15,10,10,102.96,B,2,Yes,No,Post-Graduate,Low,5
S1110,QCBSN,IAXWX,qcbsn286@yahoo.com,Other,21,IT,97.95,31,36,8.3,6.07,5,14,100.37,B,16,No,No,Primary,High,8
S1111,CYIPX,YNCIR,cyipx785@gmail.com,Male,21,BBA,82.63,29,46,5.14,7.5,9,18,114.64,B,6,No,Yes,None,Medium,9
S1112,OKHCK,FICAF,okhck373@edu.in,Male,19,ME,90.95,28,41,9.1,9.55,8,14,109.65,B,20,Yes,No,Secondary,High,4
S1113,UXHSB,OULLF,uxhsb517@outlook.com,Female,22,AI/ML,63.4,30,42,8.83,9.18,8,15,113.01,B,11,Yes,Yes,Graduate,High,2
S1114,GCFQF,WFJUU,gcfqf738@outlook.com,Male,23,CSE,92.88,32,32,8.32,5.08,5,19,101.39,B,14,Yes,No,Secondary,High,5
S1115,XEIQL,DQUPT,xeiql907@edu.in,Male,23,ECE,81.03,34,38,6.41,6.02,10,18,112.43,B,16,No,Yes,Primary,High,3
S1116,QWONC,ANSWE,qwonc745@yahoo.com,Other,21,BBA,61.2,23,34,7.72,8.91,5,12,90.63,C,1,Yes,No,None,Low,8
S1117,RFWDR,RJUBQ,rfwdr744@outlook.com,Female,20,CSE,64.02,27,40,6.51,5.67,5,13,97.18,C,7,No,No,Graduate,Medium,8
S1118,QBRLV,OQQBK,qbrlv430@yahoo.com,Female,20,CE,79.6,22,31,9.02,7.8,7,10,86.82,C,16,No,No,None,Medium,3
S1119,RBCXQ,CIMCS,rbcxq832@yahoo.com,Female,25,CE,91.95,28,37,6.23,9.11,5,13,98.33,C,10,Yes,No,Graduate,Medium,1
S1120,FLQDZ,ENSON,flqdz703@gmail.com,Male,21,CSE,82.43,23,46,8.98,6.55,7,17,108.52,B,19,Yes,No,Secondary,Medium,4
S1121,BZVML,QQTQK,bzvml683@yahoo.com,Other,21,BBA,89.33,34,46,7.48,7.73,5,14,114.2,B,1,Yes,No,Primary,Medium,9
S1122,HPQLS,SUUNB,hpqls387@yahoo.com,Other,23,AI/ML,74.0,22,49,6.81,9.4,8,16,111.21,B,13,Yes,Yes,None,Low,2
S1123,MJDWL,YPQXZ,mjdwl97@yahoo.com,Other,18,AI/ML,90.9,35,43,7.5,5.68,5,19,115.18,B,16,Yes,No,Post-Graduate,Low,5
S1124,VKWEL,DMQWL,vkwel535@outlook.com,Other,19,ECE,90.97,36,39,8.03,8.15,7,20,118.19,B,8,Yes,Yes,Post-Graduate,High,10
S1125,OOUSV,YIUTE,oousv463@gmail.com,Male,23,IT,82.23,36,41,6.86,6.11,10,13,112.97,B,11,Yes,Yes,Post-Graduate,High,10
S1126,BXUAG,BCUDQ,bxuag758@gmail.com,Female,24,MBA,60.17,30,39,9.25,7.46,8,12,105.7,B,2,No,Yes,Graduate,High,1
S1127,PFNVZ,ORQOB,pfnvz640@gmail.com,Other,19,ECE,61.18,31,43,8.95,9.84,9,18,119.79,B,13,No,Yes,Primary,Medium,6
S1128,MYTOP,FJPMC,mytop995@edu.in,Male,21,MBA,71.95,26,39,8.84,6.58,10,16,106.42,B,4,Yes,No,Graduate,Medium,10
S1129,MYIMT,EFHID,myimt538@outlook.com,Other,20,IT,78.75,35,39,8.07,6.32,6,11,105.4,B,17,No,Yes,Graduate,Low,9
S1130,WGFUW,EKJMA,wgfuw680@yahoo.com,Female,24,IT,94.86,35,35,8.84,7.51,8,13,107.35,B,14,No,Yes,Primary,High,7
S1131,VYUAI,AEOXW,vyuai176@edu.in,Other,18,IT,90.52,33,46,7.67,5.43,10,20,122.1,A,16,No,No,Primary,High,10
S1132,DMLOV,CGXPL,dmlov607@outlook.com,Female,18,BBA,99.74,33,31,7.91,6.11,8,17,103.02,B,3,Yes,No,None,Low,1
S1133,XAFNC,ZPZNR,xafnc877@edu.in,Other,18,CSE,73.21,35,38,7.35,9.35,7,11,107.7,B,20,No,Yes,Graduate,Medium,3
S1134,WLXOK,NZQFT,wlxok212@edu.in,Female,20,BBA,86.09,34,41,9.39,8.77,5,16,114.16,B,17,No,Yes,Primary,High,4
S1135,UJWLV,SWRTS,ujwlv930@yahoo.com,Other,22,IT,83.06,39,36,7.34,7.11,10,11,110.45,B,10,Yes,No,Post-Graduate,Medium,1
S1136,HFHRW,OLUOB,hfhrw82@gmail.com,Female,22,CSE,77.59,34,46,8.78,5.84,8,17,119.62,B,11,Yes,No,None,Low,10
S1137,ZOIPA,MGFIN,zoipa485@outlook.com,Male,20,ECE,94.79,32,37,5.87,5.1,9,16,104.97,B,20,No,Yes,Primary,High,6
S1138,UBRAX,XXOBR,ubrax731@edu.in,Female,23,ME,69.35,22,40,7.91,8.93,9,15,102.84,B,3,Yes,No,None,Low,2
S1139,ZRBLT,OTRNG,zrblt170@edu.in,Female,23,IT,93.68,34,46,5.7,9.19,8,17,119.89,B,10,Yes,Yes,Primary,Medium,2
S1140,IRUXL,JPMIV,iruxl109@yahoo.com,Other,24,CSE,71.79,36,47,5.62,7.41,6,14,116.03,B,8,No,No,None,Medium,3
S1141,ZKDOI,QEXHR,zkdoi114@gmail.com,Other,22,ECE,61.85,33,35,8.88,7.38,5,12,101.26,B,18,No,Yes,Graduate,High,4
S1142,WGSSX,MRSWU,wgssx558@edu.in,Other,22,ECE,78.89,34,40,6.03,8.87,8,19,115.9,B,7,Yes,Yes,None,High,1
S1143,VMPMQ,VZVJS,vmpmq711@gmail.com,Other,25,CSE,71.17,38,30,8.92,5.94,7,12,101.86,B,15,No,No,Post-Graduate,Low,9
S1144,TXXDF,NBYCD,txxdf866@yahoo.com,Female,24,CE,95.52,27,49,6.04,5.42,7,17,111.46,B,19,Yes,No,None,Low,4
S1145,YOGXB,BZDJY,yogxb34@yahoo.com,Female,21,ECE,71.32,34,32,6.64,7.76,6,12,98.41,C,10,Yes,No,Secondary,Low,1
S1146,MMSZP,ZNDDG,mmszp651@gmail.com,Other,21,ECE,66.94,40,34,5.4,5.93,7,12,104.32,B,16,No,Yes,None,Low,10
S1147,THGWE,XNUIH,thgwe544@yahoo.com,Other,23,AI/ML,81.24,40,47,8.76,6.56,10,13,125.32,A,5,No,No,None,Medium,10
S1148,YRQFT,XQKIK,yrqft139@yahoo.com,Other,21,AI/ML,65.27,37,32,8.18,8.87,8,11,105.06,B,10,Yes,No,Primary,High,4
S1149,QCYXB,JEEZK,qcyxb527@edu.in,Other,19,ECE,88.63,23,48,6.6,7.71,7,18,110.31,B,2,No,No,Secondary,Medium,5
S1150,PSWCR,XBUYC,pswcr489@yahoo.com,Female,25,CSE,78.93,35,33,5.69,5.3,9,12,99.99,C,9,Yes,No,None,Medium,10
S1151,PZCWV,SFKHH,pzcwv726@yahoo.com,Male,25,CE,80.09,32,36,9.72,8.03,9,14,108.75,B,17,No,Yes,None,High,9
S1152,DFHEB,MJRED,dfheb817@yahoo.com,Male,21,ME,87.36,20,31,6.72,6.39,7,15,86.11,C,1,Yes,Yes,Graduate,Medium,8
S1153,FZFEN,UBDPI,fzfen865@edu.in,Female,20,IT,99.05,39,37,6.03,7.85,10,19,118.88,B,5,Yes,Yes,Graduate,High,1
S1154,VNCMA,XKCDI,vncma101@outlook.com,Female,25,AI/ML,76.84,35,35,9.67,6.6,5,11,102.27,B,11,Yes,Yes,Post-Graduate,Medium,1
S1155,UKFJA,VEXTN,ukfja524@gmail.com,Other,18,CSE,88.79,32,48,6.65,9.73,5,15,116.38,B,18,Yes,No,Primary,Low,7
S1156,YJNHM,DYUAT,yjnhm564@edu.in,Male,23,CE,66.26,20,41,9.08,7.97,10,14,102.05,B,16,Yes,Yes,Secondary,Low,2
S1157,CVROM,JJNRD,cvrom252@yahoo.com,Female,22,ME,93.23,32,42,8.18,6.24,7,15,110.43,B,20,No,Yes,Secondary,High,5
S1158,GYDBM,GZZZO,gydbm732@outlook.com,Other,25,CE,72.85,36,46,5.83,5.13,9,12,113.96,B,10,Yes,Yes,None,Medium,10
S1159,JJYKL,NCFDP,jjykl129@yahoo.com,Other,21,AI/ML,67.31,22,45,6.79,8.31,5,13,100.1,B,19,No,Yes,None,Low,6
S1160,PZKKH,FJTLO,pzkkh607@yahoo.com,Male,24,BBA,62.1,29,38,8.54,6.73,5,19,106.27,B,12,No,No,Graduate,Low,9
S1161,QBMTU,BNSUE,qbmtu700@yahoo.com,Male,23,ECE,92.04,37,45,6.85,8.45,6,15,118.3,B,15,Yes,Yes,Graduate,High,5
S1162,TUWXK,YBXSI,tuwxk296@yahoo.com,Male,24,BBA,76.38,29,48,9.23,7.76,9,13,115.99,B,4,No,No,None,High,3
S1163,CVHFU,HIMBT,cvhfu163@gmail.com,Female,23,BBA,91.92,34,35,5.7,9.72,5,12,101.42,B,5,Yes,No,Primary,High,7
S1164,TRKKH,ZJTJR,trkkh584@outlook.com,Female,22,AI/ML,89.4,35,49,7.36,9.68,10,18,129.04,A,13,Yes,No,Graduate,High,3
S1165,WORLQ,NDTTI,worlq244@outlook.com,Other,20,MBA,60.92,28,30,6.19,9.57,9,19,101.77,B,12,Yes,Yes,Primary,Low,9
S1166,YVCSV,AKLUJ,yvcsv946@edu.in,Female,20,ME,90.8,30,32,7.09,9.94,10,12,101.02,B,11,No,Yes,Graduate,High,9
S1167,FHSYJ,UWGVU,fhsyj88@yahoo.com,Other,20,CE,87.92,35,40,9.45,6.5,8,12,110.95,B,4,No,Yes,Primary,High,10
S1168,ILBEE,TLTVP,ilbee527@yahoo.com,Female,22,BBA,90.56,33,42,5.13,5.23,8,11,104.36,B,4,No,No,None,Medium,5
