Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance(%),Midterm_Score,Final_score,Assignment_Avg,Quizzes_Avg,Participation_Score,Project_Score,Total_Score,Grade,Study_Hour_Per_Week,ExtraCircular_Activities,Internet_Access,Parent_Education,Family_Income,Stress(1 - 10)
S1033,NWJSH,GCENJ,nwjsh656@yahoo.com,Male,19,ECE,81.25640118273971,28,35,9.82,8.87,10,18,109.7,B,1,Yes,Yes,Primary,Low,9
S1034,ZROJN,TDSBS,zrojn322@edu.in,Other,19,BBA,75.3352778201832,36,37,8.76,7.34,6,19,114.1,B,1,Yes,No,None,Low,2
S1035,PASCK,BIBGW,pasck558@edu.in,Other,21,ECE,77.86369996455983,26,41,7.28,5.02,5,14,98.3,C,12,No,Yes,Primary,High,10
S1036,KCCMY,GPFII,kccmy145@gmail.com,Other,20,BBA,69.1412568183196,24,41,9.68,8.15,5,12,99.83,C,20,No,Yes,Primary,High,1
S1037,YXTVH,PQUPP,yxtvh414@outlook.com,Male,24,MBA,74.74023105535683,26,50,9.84,7.31,8,14,115.15,B,6,Yes,Yes,Primary,High,1
S1038,SSQUE,KUNQN,ssque880@outlook.com,Female,21,MBA,99.52019175527472,20,50,7.56,8.78,8,11,105.35,B,8,No,Yes,None,Medium,5
S1039,MAHHT,YANHP,mahht395@outlook.com,Female,19,CSE,93.88253705461483,37,39,7.78,9.23,10,18,121.01,A,5,No,Yes,Secondary,Medium,4
S1040,EAWRV,JNVAT,eawrv495@outlook.com,Female,25,MBA,61.41909399017635,31,49,7.5,9.04,9,11,116.54,B,9,Yes,No,Graduate,Medium,2
S1041,QIFDF,HNFTU,qifdf509@gmail.com,Other,18,AI/ML,67.49516090138812,35,40,5.21,6.35,5,13,104.56,B,10,Yes,No,Primary,Low,9
S1042,MXMZE,FVUJV,mxmze34@gmail.com,Female,23,MBA,95.47068075547928,20,42,9.51,6.64,6,17,101.16,B,10,No,Yes,Post-Graduate,Low,3
S1043,GUSSS,LYSXT,gusss643@outlook.com,Other,21,IT,78.13307532754364,21,37,7.96,9.23,9,17,101.18,B,3,Yes,No,Primary,Low,2
S1044,UVNPQ,PEXUX,uvnpq152@gmail.com,Male,25,CSE,96.32615196617728,26,38,8.56,8.7,10,11,102.26,B,12,Yes,Yes,None,Medium,2
S1045,ZGZDU,XMCRH,zgzdu779@gmail.com,Other,18,IT,85.9147304980696,37,36,9.03,7.13,5,18,112.15,B,11,No,Yes,None,Low,4
S1046,CAUVS,ANRSH,cauvs86@gmail.com,Female,25,AI/ML,61.88545461631247,24,40,6.65,5.8,5,20,101.45,B,5,Yes,Yes,Primary,Low,2
S1047,JKSXE,ZCFSG,jksxe217@yahoo.com,Male,18,CE,74.96397823983044,39,36,7.64,6.14,6,13,107.78,B,7,Yes,No,Graduate,Low,7
S1048,BBYUZ,DMZKP,bbyuz267@gmail.com,Female,18,IT,85.41378695177552,40,36,9.96,5.02,6,16,112.98,B,4,No,Yes,None,Medium,2
S1049,BIFLJ,XLGKM,biflj723@edu.in,Other,25,IT,64.7111419781323,25,47,7.17,9.21,10,10,108.38,B,3,Yes,Yes,Primary,High,9
S1050,KXOIS,XIRIP,kxois821@yahoo.com,Female,25,CE,74.2523921353699,24,42,9.33,8.21,10,17,110.54,B,5,No,No,Primary,Medium,4
S1051,ZWVWR,CLGPY,zwvwr872@outlook.com,Other,20,BBA,64.44118581946766,26,34,7.35,9.92,10,12,99.27,C,6,Yes,No,Secondary,High,1
S1052,VDRSK,JSYUW,vdrsk251@outlook.com,Female,18,ECE,77.6040548373924,37,34,6.89,5.68,10,12,105.56,B,12,No,Yes,Graduate,Low,10
S1053,PAQLQ,ATFRI,paqlq543@gmail.com,Male,24,BBA,88.44601353860492,33,30,7.69,8.84,8,13,100.54,B,13,No,No,Post-Graduate,High,10
S1054,YNULG,BCXLJ,ynulg149@gmail.com,Female,22,BBA,88.13288531801987,32,38,8.68,5.49,8,16,108.17,B,12,Yes,Yes,Secondary,High,2
S1055,JPJMJ,THQVA,jpjmj513@gmail.com,Other,19,BBA,88.35701039701641,26,30,8.76,5.53,6,11,87.29,C,4,Yes,No,Secondary,High,5
S1056,MLDKM,OTVMI,mldkm54@outlook.com,Other,20,AI/ML,92.03799578244637,31,32,6.74,6.06,6,14,95.81,C,14,Yes,Yes,Graduate,High,9
S1057,SOWIJ,MKBBN,sowij99@edu.in,Female,18,IT,98.31059657480355,24,30,7.09,6.7,8,20,95.8,C,10,No,Yes,Secondary,Medium,4
S1058,SVYKE,OBHHU,svyke147@yahoo.com,Male,19,CSE,92.88939544212708,36,37,9.54,8.07,8,11,109.61,B,4,Yes,No,Primary,Low,1
S1059,ZTYPF,JAGYH,ztypf915@edu.in,Male,21,CSE,73.1098431053873,40,38,8.84,7.1,9,13,115.93,B,3,No,No,None,High,2
S1060,DMDJC,BIXWK,dmdjc200@outlook.com,Other,19,MBA,95.13782927106226,34,49,9.34,5.57,8,20,125.91,A,5,Yes,No,Primary,Medium,9
S1061,QZRYR,KFOSA,qzryr906@outlook.com,Female,25,CE,99.39915324346724,28,38,7.51,6.56,10,16,106.07,B,20,No,Yes,Primary,Low,10
S1062,EIVLO,VWGSM,eivlo627@edu.in,Male,22,IT,90.33793752379202,26,38,9.32,8.09,7,12,100.41,B,3,Yes,No,Post-Graduate,High,4
S1063,MFOBF,FZUYM,mfobf281@yahoo.com,Female,25,AI/ML,88.240068768297,27,43,8.16,7.04,8,15,108.2,B,18,Yes,No,Secondary,Medium,5
S1064,LHBZN,GFUIN,lhbzn298@outlook.com,Male,25,BBA,77.46728483361242,22,40,8.08,6.5,6,17,99.58,C,8,No,No,Primary,High,7
S1065,ZMFFK,UBCNV,zmffk325@gmail.com,Female,20,CSE,90.39153872976375,22,40,8.06,7.77,6,13,96.84,C,17,No,Yes,Graduate,Medium,10
S1066,TMIDL,LMLJZ,tmidl486@edu.in,Other,21,CE,94.49660322739584,30,44,6.72,6.0,9,18,113.72,B,18,No,No,Post-Graduate,High,8
S1067,PQEKL,QEMZI,pqekl762@gmail.com,Male,25,ECE,98.8233280369626,36,49,8.15,5.55,6,19,123.7,A,5,No,No,Secondary,High,9
S1068,IOAZV,FCIOC,ioazv16@edu.in,Male,21,BBA,77.82761254114448,31,31,9.43,5.38,8,18,102.81,B,18,Yes,No,None,Medium,10
S1069,BEIWE,TRFSG,beiwe702@outlook.com,Male,22,BBA,83.16183088572333,37,42,8.65,8.07,6,16,117.72,B,6,No,Yes,Primary,Medium,10
S1070,WULUI,ZNFRQ,wului481@gmail.com,Other,24,ME,91.79320871446764,26,43,5.22,5.38,9,13,101.6,B,6,Yes,Yes,Post-Graduate,High,5
S1071,IVFYN,SCBIF,ivfyn931@edu.in,Other,18,ECE,91.92117177234873,30,33,7.98,6.57,6,18,101.55,B,19,Yes,No,None,Low,6
S1072,FFDZS,TNZWX,ffdzs54@outlook.com,Other,23,ME,82.04352307312902,30,35,8.78,6.73,6,12,98.51,C,7,No,Yes,Post-Graduate,Medium,6
S1073,ULKBQ,AJHKU,ulkbq81@outlook.com,Other,25,IT,74.83456907412618,24,39,9.94,7.29,7,11,98.23,C,11,No,Yes,Post-Graduate,High,4
S1074,YRLZL,UNPKT,yrlzl607@outlook.com,Other,21,ECE,67.38553486651651,27,37,6.9,9.48,5,11,96.38,C,14,Yes,Yes,Graduate,High,4
S1075,ZBPXW,FQTKW,zbpxw438@outlook.com,Other,21,CE,85.96771030966704,20,45,8.59,5.66,6,15,100.25,B,14,No,Yes,Primary,Medium,4
S1076,UAPIY,UPORG,uapiy565@outlook.com,Male,24,CSE,71.2637129479489,27,47,8.11,5.78,7,18,112.89,B,20,Yes,Yes,Secondary,Medium,7
S1077,HEYEZ,XBJSX,heyez720@outlook.com,Other,20,IT,63.06453275391015,21,42,9.5,8.81,5,10,96.32,C,20,No,No,None,High,3
S1078,FZRIQ,LRCOX,fzriq750@edu.in,Other,20,AI/ML,60.604281209773866,29,31,9.48,5.47,10,10,94.96,C,11,No,No,None,Medium,10
S1079,BBYAG,SSOOS,bbyag920@yahoo.com,Other,25,CSE,96.99276654561453,40,48,5.85,6.16,6,15,121.02,A,9,No,Yes,Primary,Low,5
S1080,QPMRB,LWPRK,qpmrb675@gmail.com,Other,18,AI/ML,91.62219093605849,28,36,9.4,9.82,9,14,106.23,B,10,No,No,None,Low,7
S1081,MRKKC,XRZNK,mrkkc466@edu.in,Male,25,MBA,99.37052014291316,21,37,8.84,6.49,7,19,99.33,C,8,Yes,No,Primary,Low,7
S1082,WSECS,TCGUC,wsecs954@gmail.com,Female,18,CE,85.63631830343556,38,44,7.2,6.31,10,15,120.51,A,20,Yes,No,Secondary,Low,9
S1083,DBOIK,KNLCQ,dboik92@outlook.com,Female,21,ME,64.21691757277475,36,45,5.71,6.54,8,20,121.25,A,2,Yes,Yes,Post-Graduate,High,2
S1084,JQYYF,EHXMG,jqyyf349@yahoo.com,Female,22,IT,97.67915672584522,22,30,8.1,9.39,6,11,86.49,C,19,Yes,No,Post-Graduate,High,4
S1085,PFMMU,GNJAE,pfmmu425@outlook.com,Male,22,IT,75.00054011551696,22,48,6.31,9.45,5,14,104.76,B,2,Yes,Yes,Secondary,Medium,8
S1086,ZGSDX,KBFJH,zgsdx110@edu.in,Female,24,MBA,96.9254615644513,38,42,7.87,8.63,5,20,121.5,A,9,No,Yes,None,Medium,2
S1087,LNKRS,NQKLM,lnkrs709@outlook.com,Male,25,IT,95.40833355894455,23,34,5.52,8.23,8,19,97.75,C,1,Yes,No,Primary,Medium,3
S1088,ZVZKX,SNZZD,zvzkx611@gmail.com,Female,25,IT,65.75816428659954,22,43,5.58,6.77,7,16,100.35,B,11,Yes,No,Graduate,Medium,9
S1089,SBASI,RVZSN,sbasi851@edu.in,Male,20,CSE,67.66233406728556,32,38,8.91,8.34,5,12,104.25,B,15,No,Yes,Primary,Medium,2
S1090,ZJPMR,KPESR,zjpmr314@yahoo.com,Other,19,BBA,68.99039709193681,31,42,5.49,9.35,7,19,113.84,B,4,Yes,No,Graduate,Low,2
S1091,RFNAZ,WBXPJ,rfnaz706@outlook.com,Other,23,MBA,89.88706446419174,35,36,8.66,9.51,5,15,109.17,B,15,No,Yes,None,Medium,8
S1092,ADAZN,GFNHD,adazn221@yahoo.com,Female,20,CSE,66.13361014365894,26,49,8.86,6.43,10,16,116.29,B,5,No,No,Secondary,High,8
S1093,OEYRX,XSSOJ,oeyrx202@edu.in,Female,22,AI/ML,99.3054171303697,36,31,5.43,7.61,10,12,102.04,B,10,No,No,Graduate,Medium,6
S1094,AXLUN,JWYHP,axlun195@edu.in,Male,18,ME,81.7921572730777,40,50,6.34,8.14,7,10,121.48,A,14,No,No,Primary,Low,3
S1095,DYQKR,HSETN,dyqkr403@yahoo.com,Female,24,CSE,76.18842497652561,37,43,7.85,9.77,8,15,120.63,A,20,No,No,Post-Graduate,Low,3
S1096,ACVCK,VTKMC,acvck472@outlook.com,Other,25,CSE,70.05427394459416,20,41,6.73,9.64,10,11,98.37,C,12,Yes,No,Secondary,Medium,8
S1097,CBDWT,HDBYV,cbdwt229@yahoo.com,Male,18,ME,88.27701758780731,37,44,8.21,7.71,5,12,113.92,B,15,Yes,No,Post-Graduate,Medium,6
S1098,VLOTC,UFCAX,vlotc798@outlook.com,Female,24,ECE,82.67154191172253,20,42,5.99,6.92,10,17,101.91,B,19,Yes,No,Post-Graduate,Low,4
S1099,PQXAJ,TKDWB,pqxaj291@yahoo.com,Male,19,BBA,84.2402820016193,25,30,5.88,6.17,5,11,83.05,C,17,Yes,No,Primary,High,1
S1100,WTFZO,ZGWYC,wtfzo407@edu.in,Other,23,BBA,72.30952550030288,31,47,6.84,5.89,8,10,108.73,B,8,Yes,No,None,Low,6
S1101,RRHCU,JBDCA,rrhcu899@edu.in,Male,19,MBA,86.13283702516128,28,31,7.11,7.66,9,19,101.78,B,8,No,Yes,None,Low,6
S1102,SWXKL,PDZYV,swxkl519@outlook.com,Female,18,ME,66.65341572740178,37,40,7.29,5.91,8,14,112.2,B,18,Yes,No,Graduate,Medium,5
S1103,HYYRK,QHLNE,hyyrk492@yahoo.com,Other,18,BBA,69.88036270353068,22,35,5.76,7.4,10,13,93.16,C,12,No,Yes,Primary,Medium,4
S1104,SJTML,DGJOH,sjtml450@edu.in,Other,18,BBA,93.50073142385047,26,44,9.47,7.14,8,12,106.61,B,11,Yes,Yes,Secondary,Medium,1
S1105,QFDWP,GLOQV,qfdwp378@gmail.com,Female,20,BBA,73.9443463190233,28,36,6.14,7.1,9,11,97.24,C,9,No,Yes,Primary,Low,4
S1106,WOTVV,DNQJN,wotvv92@gmail.com,Female,25,CE,91.81438687468466,27,36,8.71,7.14,10,11,99.85,C,20,Yes,Yes,Graduate,Low,6
S1107,HQDTH,SYCDC,hqdth30@edu.in,Other,19,AI/ML,74.97089592341713,31,43,9.34,6.61,6,13,108.95,B,7,No,No,Secondary,Low,3
S1108,TRKIH,OGJTW,trkih738@edu.in,Female,19,CSE,96.1505105621166,36,40,9.64,8.44,9,13,116.08,B,12,No,Yes,Graduate,High,3
S1109,ZKFZF,MYUTP,zkfzf101@edu.in,Other,22,ECE,92.2674031146995,40,47,9.7,7.34,7,10,121.05,A,1,Yes,No,Secondary,High,1
S1110,XSZFO,NSDWO,xszfo218@gmail.com,Other,20,BBA,62.175947865537836,25,37,8.18,6.17,8,16,100.35,B,18,Yes,Yes,None,Low,5
S1111,FGEWB,JSZDX,fgewb146@outlook.com,Male,23,IT,64.7404899115794,20,47,9.19,5.32,10,13,104.51,B,15,Yes,Yes,Primary,Low,5
S1112,YMSOV,SRDUQ,ymsov777@outlook.com,Other,23,IT,72.32839065675309,38,37,6.15,6.1,7,12,106.25,B,18,Yes,Yes,Secondary,Low,8
S1113,PKASP,QMDBA,pkasp288@outlook.com,Other,22,ECE,91.86895824020158,26,33,6.46,5.22,5,18,93.68,C,1,Yes,No,None,Low,6
S1114,CIQDG,BZNGB,ciqdg561@gmail.com,Male,18,CSE,65.79692780265474,28,43,6.56,8.71,10,17,113.26,B,15,Yes,Yes,Primary,High,4
S1115,RTUHQ,DGGOI,rtuhq401@gmail.com,Other,24,ME,87.739235925713,34,45,9.39,6.68,6,14,115.07,B,20,Yes,Yes,None,High,8
S1116,OPYZG,HACIF,opyzg95@edu.in,Other,19,IT,71.24558778438772,30,38,6.47,9.74,8,12,104.21,B,11,No,No,Graduate,High,7
S1117,TLENQ,PAMGZ,tlenq603@gmail.com,Female,18,BBA,87.62930876339699,27,37,8.56,9.33,9,12,102.89,B,11,No,Yes,Post-Graduate,Medium,9
S1118,PJLYB,KSCNW,pjlyb234@outlook.com,Female,21,MBA,95.9593177635376,31,47,9.03,6.01,5,18,116.04,B,13,Yes,No,None,Low,9
S1119,OGHGF,QIHTG,oghgf67@edu.in,Female,25,IT,82.21971959506357,26,40,8.81,6.1,5,10,95.91,C,8,Yes,Yes,None,Medium,3
S1120,RSOXN,JCQRN,rsoxn677@edu.in,Female,22,ECE,81.94747573621584,21,37,6.51,7.11,8,14,93.62,C,8,No,Yes,Secondary,Medium,2
S1121,ITJKR,XRRAS,itjkr54@gmail.com,Male,20,IT,78.28481918431466,23,37,6.91,7.53,9,11,94.44,C,17,No,No,Graduate,Medium,9
S1122,GTNBV,CSYLS,gtnbv583@yahoo.com,Male,18,AI/ML,86.71185942655342,38,36,7.87,8.49,6,18,114.36,B,13,Yes,No,Graduate,Low,5
S1123,QTTTK,DJUZK,qtttk933@yahoo.com,Other,20,IT,79.70904116916518,21,44,5.19,8.56,10,11,99.75,C,15,No,Yes,Primary,High,5
S1124,IVMSW,BRSLC,ivmsw106@outlook.com,Female,19,CSE,73.10488565777058,21,46,7.23,9.47,6,15,104.7,B,16,No,No,Post-Graduate,Low,5
S1125,YQCMC,YUQXW,yqcmc288@gmail.com,Other,18,ECE,78.45969500891653,22,42,8.01,9.46,10,11,102.47,B,10,No,No,Secondary,Medium,7
S1126,TVSYI,DSFLW,tvsyi479@gmail.com,Other,21,MBA,76.42575321695514,23,40,5.74,6.04,7,18,99.78,C,3,No,Yes,Primary,Low,6
S1127,EPBPM,WINKU,epbpm978@gmail.com,Other,22,AI/ML,91.69093291790215,31,45,6.29,8.28,6,17,113.57,B,7,Yes,No,Post-Graduate,Low,10
S1128,MMNQM,NBNBP,mmnqm153@gmail.com,Other,23,CE,85.86483185651367,31,32,5.18,5.02,10,18,101.2,B,8,No,No,None,High,3
S1129,GBPZP,RFXMR,gbpzp526@yahoo.com,Female,25,CE,76.3960766259516,39,49,8.24,8.7,6,10,120.94,A,20,Yes,No,Secondary,High,1
S1130,WGIBC,BPKDC,wgibc916@outlook.com,Other,19,BBA,72.35980669774038,39,41,9.05,9.31,9,10,117.36,B,12,No,Yes,Post-Graduate,Medium,2
S1131,DLOIF,KOMPM,dloif670@edu.in,Other,24,ME,73.1965053342917,31,30,6.09,9.68,9,15,100.77,B,20,Yes,Yes,None,Low,7
S1132,CQORL,CIOQX,cqorl357@outlook.com,Other,18,MBA,68.27178504073333,32,39,5.03,9.01,10,16,111.03,B,5,No,Yes,Graduate,Low,5
S1133,KXQXF,SDLRJ,kxqxf248@edu.in,Other,18,CSE,76.56326341873344,31,32,7.21,9.83,5,18,103.04,B,6,Yes,Yes,Primary,High,9
S1134,LSTKL,JHVDI,lstkl87@edu.in,Female,23,CE,71.30149066417226,23,34,9.2,8.91,9,10,94.11,C,8,Yes,No,None,Medium,1
S1135,YIRVX,FNERO,yirvx482@outlook.com,Other,22,CE,82.2596332861327,23,31,5.98,9.85,8,12,89.83,C,1,No,No,Primary,High,4
S1136,XAOTG,FCPCU,xaotg389@yahoo.com,Male,21,ECE,77.0948658852906,29,33,9.99,9.81,8,12,101.79,B,3,No,Yes,Primary,Low,9
S1137,IGYPA,LDIST,igypa190@edu.in,Female,19,BBA,74.43406021389207,40,47,5.76,6.03,8,11,117.79,B,12,No,Yes,Primary,Low,8
S1138,KKBRW,HSZVA,kkbrw731@edu.in,Male,20,AI/ML,89.83516893888682,24,32,8.65,8.03,7,17,96.68,C,6,Yes,No,Graduate,Low,3
S1139,YTSQT,BIEZV,ytsqt988@yahoo.com,Female,18,IT,62.61810198901691,27,31,6.26,6.31,10,12,92.57,C,4,No,Yes,Graduate,Low,2
S1140,OBXHG,NUOYW,obxhg63@edu.in,Female,19,CE,93.99431573390967,39,43,5.01,9.3,9,17,122.3,A,15,No,Yes,Post-Graduate,High,7
S1141,BIJXH,ZPRNK,bijxh441@gmail.com,Other,22,CE,86.71249199817757,39,48,9.29,8.27,7,15,126.56,A,10,Yes,Yes,Graduate,High,4
S1142,YUVLN,OHNPU,yuvln698@edu.in,Female,18,MBA,65.85564625888985,36,39,8.36,8.36,7,12,110.72,B,12,Yes,Yes,Primary,Low,6
S1143,CSMEP,OFWDH,csmep283@gmail.com,Female,21,ECE,63.65380966116444,38,33,6.94,7.62,7,17,109.56,B,15,No,Yes,Post-Graduate,High,1
S1144,CQQYJ,MCSQT,cqqyj311@gmail.com,Female,22,CE,81.78461489090522,20,44,8.42,8.71,7,15,103.13,B,9,Yes,Yes,None,Medium,7
S1145,WUPEN,GAHHH,wupen439@gmail.com,Other,20,IT,72.06234109981733,34,41,8.97,8.2,9,17,118.17,B,4,No,No,Primary,Medium,8
S1146,YDRRH,XHNRB,ydrrh548@gmail.com,Other,22,BBA,71.7385079375587,31,42,7.99,8.53,7,17,113.52,B,11,No,No,Graduate,Medium,10
S1147,XIIDL,IPHBR,xiidl163@outlook.com,Other,21,AI/ML,84.57888992012317,38,33,7.64,7.35,10,19,114.99,B,17,No,No,Graduate,Medium,4
S1148,ZTJPN,KJXQX,ztjpn976@outlook.com,Female,19,CSE,81.45948195097696,37,41,9.56,6.47,8,19,121.03,A,1,Yes,Yes,None,High,4
S1149,NCNLS,FDKWD,ncnls237@edu.in,Other,24,BBA,91.191154256286,22,35,9.82,6.49,7,10,90.32,C,1,Yes,Yes,Graduate,Medium,9
S1150,IHJBL,ABXIN,ihjbl213@outlook.com,Other,20,CSE,75.77174089594905,37,46,6.2,5.07,9,13,116.27,B,17,Yes,No,Primary,Low,5
S1151,JFHRQ,ONNRB,jfhrq716@gmail.com,Male,20,MBA,92.62804372987601,27,44,9.21,8.24,5,20,113.44,B,5,Yes,Yes,Graduate,Low,2
S1152,XWTGE,YNKGX,xwtge988@edu.in,Female,25,MBA,74.64762409978161,34,37,6.99,8.95,9,18,113.94,B,17,Yes,No,Graduate,Low,3
S1153,TELVE,IMNVZ,telve13@gmail.com,Female,24,ECE,99.6798499387645,34,43,9.56,8.84,10,20,125.4,A,13,No,Yes,Graduate,High,9
S1154,WHOSY,LEFFU,whosy214@edu.in,Other,25,IT,69.508953519575,29,42,5.01,6.98,8,16,106.99,B,11,No,No,Graduate,Low,10
S1155,JHDZM,HJYQE,jhdzm275@yahoo.com,Female,25,MBA,93.40966608140101,34,48,6.33,9.26,10,16,123.58,A,9,No,Yes,Post-Graduate,High,1
S1156,XWLUL,OCMMI,xwlul432@yahoo.com,Other,23,ME,72.22327548278592,36,32,5.46,6.07,6,17,102.53,B,3,Yes,No,None,Medium,9
S1157,OCVLV,STIBU,ocvlv647@edu.in,Other,24,AI/ML,87.40724690768748,30,50,9.24,9.88,10,16,125.12,A,7,Yes,No,Primary,Low,10
S1158,SKCUI,MKANI,skcui976@yahoo.com,Male,25,IT,74.8716401836281,22,42,8.54,9.6,9,17,108.14,B,18,Yes,Yes,Post-Graduate,High,2
S1159,KVMKV,GOUEN,kvmkv574@edu.in,Other,20,CE,87.6117284484695,35,40,5.46,9.03,5,11,105.49,B,3,Yes,No,Graduate,High,2
S1160,KBDSP,EXYHJ,kbdsp962@gmail.com,Male,25,BBA,94.93623637414954,34,38,6.16,8.4,5,15,106.56,B,20,Yes,Yes,Secondary,Medium,1
